編號,寶可夢,屬性1,屬性2,最高CP,攻擊,防禦,耐力,代,圖片連結,詳情頁
25,皮卡丘,Electric,,1060,112,96,111,1,http://db.pokemonhubs.com/zh/imgs/14285173356044f5529b678.png,http://db.pokemonhubs.com/zh/detail.php?p_id=26
26,雷丘,Electric,,2467,193,151,155,1,http://db.pokemonhubs.com/zh/imgs/1939479856044f6b8c8414.png,http://db.pokemonhubs.com/zh/detail.php?p_id=27
27,穿山鼠,Ground,,1426,126,120,137,1,http://db.pokemonhubs.com/zh/imgs/12708245256044f7b73d273.png,http://db.pokemonhubs.com/zh/detail.php?p_id=28
28,穿山王,Ground,,2684,182,175,181,1,http://db.pokemonhubs.com/zh/imgs/13144125496044f8ae002d2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=29
29,尼多蘭,Poison,,922,86,89,146,1,http://db.pokemonhubs.com/zh/imgs/8468607096044f9abb8d5a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=30
30,尼多娜,Poison,,1480,117,120,172,1,http://db.pokemonhubs.com/zh/imgs/8913633086044fac023471.png,http://db.pokemonhubs.com/zh/detail.php?p_id=31
31,尼多后,Poison,Ground,2812,180,173,207,1,http://db.pokemonhubs.com/zh/imgs/8296120566044fbd7251ed.png,http://db.pokemonhubs.com/zh/detail.php?p_id=32
32,尼多朗,Poison,,973,105,76,130,1,http://db.pokemonhubs.com/zh/imgs/18658911866044fcd9b88b2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=33
33,尼多力諾,Poison,,1575,137,111,156,1,http://db.pokemonhubs.com/zh/imgs/12138920306044fe9261ee6.png,http://db.pokemonhubs.com/zh/detail.php?p_id=34
34,尼多王,Poison,Ground,2902,204,156,191,1,http://db.pokemonhubs.com/zh/imgs/8557500766044ffbfd7ca4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=35
35,皮皮,Fairy,,1306,107,108,172,1,http://db.pokemonhubs.com/zh/imgs/25020868960463318b779b.png,http://db.pokemonhubs.com/zh/detail.php?p_id=36
36,皮可西,Fairy,,2755,178,162,216,1,http://db.pokemonhubs.com/zh/imgs/10384712560463417b1f80.png,http://db.pokemonhubs.com/zh/detail.php?p_id=37
37,六尾,Fire,,998,96,109,116,1,http://db.pokemonhubs.com/zh/imgs/37376471760463739366f4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=38
38,九尾,Fire,,2577,169,190,177,1,http://db.pokemonhubs.com/zh/imgs/467527702604638aeb3a88.png,http://db.pokemonhubs.com/zh/detail.php?p_id=39
39,胖丁,Normal,Fairy,818,80,41,251,1,http://db.pokemonhubs.com/zh/imgs/631260260463a50f3bee.png,http://db.pokemonhubs.com/zh/detail.php?p_id=40
40,胖可丁,Normal,Fairy,2178,156,90,295,1,http://db.pokemonhubs.com/zh/imgs/190731743060463be21a94d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=41
41,超音蝠,Poison,Flying,754,83,73,120,1,http://db.pokemonhubs.com/zh/imgs/147861119260463edec5910.png,http://db.pokemonhubs.com/zh/detail.php?p_id=42
42,大嘴蝠,Poison,Flying,2234,161,150,181,1,http://db.pokemonhubs.com/zh/imgs/1977457939604645d71b96d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=43
43,走路草,Grass,Poison,1389,131,112,128,1,http://db.pokemonhubs.com/zh/imgs/1485625914604647af82f54.png,http://db.pokemonhubs.com/zh/detail.php?p_id=44
44,臭臭花,Grass,Poison,1900,153,136,155,1,http://db.pokemonhubs.com/zh/imgs/20510406960464e7caa52b.png,http://db.pokemonhubs.com/zh/detail.php?p_id=45
45,霸王花,Grass,Poison,2893,202,167,181,1,http://db.pokemonhubs.com/zh/imgs/734086452604b71d408340.png,http://db.pokemonhubs.com/zh/detail.php?p_id=46
46,派拉斯,Bug,Grass,1150,121,99,111,1,http://db.pokemonhubs.com/zh/imgs/1447131018604b7475258e1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=47
47,派拉斯特,Bug,Grass,2102,165,146,155,1,http://db.pokemonhubs.com/zh/imgs/2140094204604b7662a7cbd.png,http://db.pokemonhubs.com/zh/detail.php?p_id=48
48,毛球,Bug,Poison,1135,100,100,155,1,http://db.pokemonhubs.com/zh/imgs/481768708604daba20700e.png,http://db.pokemonhubs.com/zh/detail.php?p_id=49
49,摩魯蛾,Bug,Poison,2354,179,143,172,1,http://db.pokemonhubs.com/zh/imgs/1305842549604dad48503f3.png,http://db.pokemonhubs.com/zh/detail.php?p_id=50
50,地鼠,Ground,,764,109,78,67,1,http://db.pokemonhubs.com/zh/imgs/400023877604dae74aaa6c.png,http://db.pokemonhubs.com/zh/detail.php?p_id=51
51,三地鼠,Ground,,1760,167,134,111,1,http://db.pokemonhubs.com/zh/imgs/1646249126604db04b6b5e2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=52
52,喵喵,Normal,,846,92,78,120,1,http://db.pokemonhubs.com/zh/imgs/2075568031604db24e0163f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=53
53,貓老大,Normal,,1910,150,136,163,1,http://db.pokemonhubs.com/zh/imgs/177431287604db3b92d383.png,http://db.pokemonhubs.com/zh/detail.php?p_id=54
54,可達鴨,Water,,1250,122,95,137,1,http://db.pokemonhubs.com/zh/imgs/1515840671604db4ec79819.png,http://db.pokemonhubs.com/zh/detail.php?p_id=55
55,哥達鴨,Water,,2770,191,162,190,1,http://db.pokemonhubs.com/zh/imgs/799103551604db63036276.png,http://db.pokemonhubs.com/zh/detail.php?p_id=56
56,猴怪,Fighting,,1317,148,82,120,1,http://db.pokemonhubs.com/zh/imgs/522569686604db7412203e.png,http://db.pokemonhubs.com/zh/detail.php?p_id=58
57,火爆猴,Fighting,,2586,207,138,163,1,http://db.pokemonhubs.com/zh/imgs/2093490356604db834dba6a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=59
58,卡蒂狗,Fire,,1405,136,93,146,1,http://db.pokemonhubs.com/zh/imgs/1749601758604db9917589d.png,http://db.pokemonhubs.com/zh/detail.php?p_id=60
59,風速狗,Fire,,3425,227,166,207,1,http://db.pokemonhubs.com/zh/imgs/689508637604dba82b7c12.png,http://db.pokemonhubs.com/zh/detail.php?p_id=61
60,蚊香蝌蚪,Water,,937,101,82,120,1,http://db.pokemonhubs.com/zh/imgs/1463702707604dbbef4febf.png,http://db.pokemonhubs.com/zh/detail.php?p_id=62
61,蚊香君,Water,,1604,130,123,163,1,http://db.pokemonhubs.com/zh/imgs/1771500774604dbcc1e0690.png,http://db.pokemonhubs.com/zh/detail.php?p_id=63
62,蚊香泳士,Water,Fighting,2923,182,184,207,1,http://db.pokemonhubs.com/zh/imgs/2106609481604dbe2142d19.png,http://db.pokemonhubs.com/zh/detail.php?p_id=64
63,凱西,Psychic,,1517,195,82,93,1,http://db.pokemonhubs.com/zh/imgs/1582124865604e0f3c68f15.png,http://db.pokemonhubs.com/zh/detail.php?p_id=65
64,勇基拉,Psychic,,2328,232,117,120,1,http://db.pokemonhubs.com/zh/imgs/1725740005604e101b85edf.png,http://db.pokemonhubs.com/zh/detail.php?p_id=66
65,胡地,Psychic,,3456,271,167,146,1,http://db.pokemonhubs.com/zh/imgs/669536334604e10d2c4616.png,http://db.pokemonhubs.com/zh/detail.php?p_id=67
66,腕力,Fighting,,1445,137,82,172,1,http://db.pokemonhubs.com/zh/imgs/1492735923604e11ad29ff8.png,http://db.pokemonhubs.com/zh/detail.php?p_id=68
67,豪力,Fighting,,2296,177,125,190,1,http://db.pokemonhubs.com/zh/imgs/1977881816604e12a230884.png,http://db.pokemonhubs.com/zh/detail.php?p_id=69
68,怪力,Fighting,,3455,234,159,207,1,http://db.pokemonhubs.com/zh/imgs/1994854695604e13cde5565.png,http://db.pokemonhubs.com/zh/detail.php?p_id=70
69,喇叭芽,Grass,Poison,1168,139,61,137,1,http://db.pokemonhubs.com/zh/imgs/1061187539604e15852952f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=71
70,口呆花,Grass,Poison,1822,172,92,163,1,http://db.pokemonhubs.com/zh/imgs/1520238480604e169ee93e2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=72
71,大食花,Grass,Poison,2748,207,135,190,1,http://db.pokemonhubs.com/zh/imgs/638522258604e182b71402.png,http://db.pokemonhubs.com/zh/detail.php?p_id=73
72,瑪瑙水母,Water,Poison,1176,97,149,120,1,http://db.pokemonhubs.com/zh/imgs/1876871204604e2ed584bcc.png,http://db.pokemonhubs.com/zh/detail.php?p_id=74
73,毒刺水母,Water,Poison,2738,166,209,190,1,http://db.pokemonhubs.com/zh/imgs/78855381604e3ac0490e6.png,http://db.pokemonhubs.com/zh/detail.php?p_id=75
74,小拳石,Rock,Ground,1462,132,132,120,1,http://db.pokemonhubs.com/zh/imgs/580635186604e45f7af609.png,http://db.pokemonhubs.com/zh/detail.php?p_id=76
75,隆隆石,Rock,Ground,2145,164,164,146,1,http://db.pokemonhubs.com/zh/imgs/1607694581604e49a86ea50.png,http://db.pokemonhubs.com/zh/detail.php?p_id=77
76,隆隆岩,Rock,Ground,3334,211,198,190,1,http://db.pokemonhubs.com/zh/imgs/1858487871604e4b684412c.png,http://db.pokemonhubs.com/zh/detail.php?p_id=78
77,小火馬,Fire,,1919,170,127,137,1,http://db.pokemonhubs.com/zh/imgs/458270141604f80f96c7d6.png,http://db.pokemonhubs.com/zh/detail.php?p_id=79
78,烈焰馬,Fire,,2782,207,162,163,1,http://db.pokemonhubs.com/zh/imgs/523938870604f9d9eca2d9.png,http://db.pokemonhubs.com/zh/detail.php?p_id=80
79,呆呆獸,Water,Psychic,1386,109,98,207,1,http://db.pokemonhubs.com/zh/imgs/16662488976051befcaa7fd.png,http://db.pokemonhubs.com/zh/detail.php?p_id=81
80,呆殼獸,Water,Psychic,2877,177,180,216,1,http://db.pokemonhubs.com/zh/imgs/4642332856051c09949291.png,http://db.pokemonhubs.com/zh/detail.php?p_id=82
81,小磁怪,Electric,Steel,1540,165,121,93,1,http://db.pokemonhubs.com/zh/imgs/1405447616051ca7035206.png,http://db.pokemonhubs.com/zh/detail.php?p_id=83
82,三合一磁怪,Electric,Steel,2810,223,169,137,1,http://db.pokemonhubs.com/zh/imgs/1974940576051cb956a2f4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=84
83,大蔥鴨,Normal,Flying,1397,124,115,141,1,http://db.pokemonhubs.com/zh/imgs/2647553106051cd29c577a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=85
84,嘟嘟,Normal,Flying,1357,158,83,111,1,http://db.pokemonhubs.com/zh/imgs/18134755826051ceb28c0c0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=86
85,嘟嘟利,Normal,Flying,2670,218,140,155,1,http://db.pokemonhubs.com/zh/imgs/9108250456051cfed6b9e9.png,http://db.pokemonhubs.com/zh/detail.php?p_id=87
86,小海獅,Water,,1098,85,121,163,1,http://db.pokemonhubs.com/zh/imgs/7378188846051d1317a030.png,http://db.pokemonhubs.com/zh/detail.php?p_id=88
87,白海獅,Water,Ice,2245,139,177,207,1,http://db.pokemonhubs.com/zh/imgs/5607074296051d216e0009.png,http://db.pokemonhubs.com/zh/detail.php?p_id=89
88,臭泥,Poison,,1553,135,90,190,1,http://db.pokemonhubs.com/zh/imgs/19296279016051d4602f70c.png,http://db.pokemonhubs.com/zh/detail.php?p_id=90
89,臭臭泥,Poison,,3117,190,172,233,1,http://db.pokemonhubs.com/zh/imgs/1765476786051d5707231e.png,http://db.pokemonhubs.com/zh/detail.php?p_id=91
90,大舌貝,Water,,1221,116,134,102,1,http://db.pokemonhubs.com/zh/imgs/7207517486051d6720782a.png,http://db.pokemonhubs.com/zh/detail.php?p_id=92
91,刺甲貝,Water,Ice,2880,186,256,137,1,http://db.pokemonhubs.com/zh/imgs/15005061626051d76d1312b.png,http://db.pokemonhubs.com/zh/detail.php?p_id=93
92,鬼斯,Ghost,Poison,1390,186,67,102,1,http://db.pokemonhubs.com/zh/imgs/10132941406051d930c3487.png,http://db.pokemonhubs.com/zh/detail.php?p_id=94
93,鬼斯通,Ghost,Poison,2219,223,107,128,1,http://db.pokemonhubs.com/zh/imgs/114120788360520f7a77cf1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=95
94,耿鬼,Ghost,Poison,3254,261,149,155,1,http://db.pokemonhubs.com/zh/imgs/7474283986052137c967e3.png,http://db.pokemonhubs.com/zh/detail.php?p_id=96
95,大岩蛇,Rock,Ground,1245,85,232,111,1,http://db.pokemonhubs.com/zh/imgs/2018066400605226a178695.png,http://db.pokemonhubs.com/zh/detail.php?p_id=97
96,催眠貘,Psychic,,1176,89,136,155,1,http://db.pokemonhubs.com/zh/imgs/456280294605228c531f49.png,http://db.pokemonhubs.com/zh/detail.php?p_id=98
97,引夢貘人,Psychic,,2363,144,193,198,1,http://db.pokemonhubs.com/zh/imgs/404069127605229948ca31.png,http://db.pokemonhubs.com/zh/detail.php?p_id=99
98,大鉗蟹,Water,,1764,181,124,102,1,http://db.pokemonhubs.com/zh/imgs/62207203660522ae697e15.png,http://db.pokemonhubs.com/zh/detail.php?p_id=100
99,巨鉗蟹,Water,,3198,240,181,146,1,http://db.pokemonhubs.com/zh/imgs/176001758160522bc25beb1.png,http://db.pokemonhubs.com/zh/detail.php?p_id=101
100,霹靂電球,Electric,,1141,109,111,120,1,http://db.pokemonhubs.com/zh/imgs/9270654846052301ee5a99.png,http://db.pokemonhubs.com/zh/detail.php?p_id=102
101,頑皮雷彈,Electric,,2373,173,173,155,1,http://db.pokemonhubs.com/zh/imgs/16444005756052316c78e56.png,http://db.pokemonhubs.com/zh/detail.php?p_id=103
102,蛋蛋,Grass,Psychic,1328,107,125,155,1,http://db.pokemonhubs.com/zh/imgs/111563533605778e15d6fd.png,http://db.pokemonhubs.com/zh/detail.php?p_id=125
103,椰蛋樹,Grass,Psychic,3408,233,149,216,1,http://db.pokemonhubs.com/zh/imgs/37815474660577b19df615.png,http://db.pokemonhubs.com/zh/detail.php?p_id=126
104,卡拉卡拉,Ground,,1152,90,144,137,1,http://db.pokemonhubs.com/zh/imgs/5113825660583eebe3bd6.png,http://db.pokemonhubs.com/zh/detail.php?p_id=135
105,嘎啦嘎啦,Bug,,2075,144,186,155,1,http://db.pokemonhubs.com/zh/imgs/824396493605840d882619.png,http://db.pokemonhubs.com/zh/detail.php?p_id=136
106,飛腿郎,Fighting,,2912,224,181,137,1,http://db.pokemonhubs.com/zh/imgs/669634986605841c25eb93.png,http://db.pokemonhubs.com/zh/detail.php?p_id=137
107,快拳郎,Fighting,,2636,193,197,137,1,http://db.pokemonhubs.com/zh/imgs/127807671605843ffccbb0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=138
108,大舌頭,Normal,,1595,108,137,207,1,http://db.pokemonhubs.com/zh/imgs/19567172296058472774081.png,http://db.pokemonhubs.com/zh/detail.php?p_id=139
109,瓦斯彈,Poison,,1373,119,141,120,1,http://db.pokemonhubs.com/zh/imgs/121297186060584810d8df2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=140
110,雙彈瓦斯,Poison,,2592,174,197,163,1,http://db.pokemonhubs.com/zh/imgs/1849626170605849356e958.png,http://db.pokemonhubs.com/zh/detail.php?p_id=141
111,獨角犀牛,Ground,Rock,1867,140,127,190,1,http://db.pokemonhubs.com/zh/imgs/122273650560584ac928450.png,http://db.pokemonhubs.com/zh/detail.php?p_id=142
112,鑽角犀獸,Ground,Rock,3594,222,171,233,1,http://db.pokemonhubs.com/zh/imgs/200956814160584edc9e615.png,http://db.pokemonhubs.com/zh/detail.php?p_id=143
113,吉利蛋,Normal,,1418,60,128,487,1,http://db.pokemonhubs.com/zh/imgs/2109677103605850835b878.png,http://db.pokemonhubs.com/zh/detail.php?p_id=144
114,蔓藤怪,Grass,,2530,183,169,163,1,http://db.pokemonhubs.com/zh/imgs/7876422006058525607a87.png,http://db.pokemonhubs.com/zh/detail.php?p_id=145
115,袋獸,Normal,,2924,181,165,233,1,http://db.pokemonhubs.com/zh/imgs/58812847860585360f1fbe.png,http://db.pokemonhubs.com/zh/detail.php?p_id=146
116,墨海馬,Water,,1194,129,103,102,1,http://db.pokemonhubs.com/zh/imgs/11615806736058546f12fb2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=147
117,海刺龍,Water,,2366,187,156,146,1,http://db.pokemonhubs.com/zh/imgs/1579713888605858a28510b.png,http://db.pokemonhubs.com/zh/detail.php?p_id=148
118,角金魚,Water,,1302,123,110,128,1,http://db.pokemonhubs.com/zh/imgs/191571595760585a1b76eb9.png,http://db.pokemonhubs.com/zh/detail.php?p_id=149
119,金魚王,Water,,2444,175,147,190,1,http://db.pokemonhubs.com/zh/imgs/75709453260585b0e33df2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=150
120,海星星,Water,,1308,137,112,102,1,http://db.pokemonhubs.com/zh/imgs/62127848360585d05b7cfe.png,http://db.pokemonhubs.com/zh/detail.php?p_id=151
121,寶石海星,Water,Psychic,2922,210,184,155,1,http://db.pokemonhubs.com/zh/imgs/135062279160585e54c8514.png,http://db.pokemonhubs.com/zh/detail.php?p_id=152
122,魔牆人偶,Psychic,Fairy,2518,192,205,120,1,http://db.pokemonhubs.com/zh/imgs/1380413360586100a6424.png,http://db.pokemonhubs.com/zh/detail.php?p_id=153
123,飛天螳螂,Bug,Flying,3060,218,170,172,1,http://db.pokemonhubs.com/zh/imgs/16567110376058629af25d2.png,http://db.pokemonhubs.com/zh/detail.php?p_id=154
124,迷唇姐,Ice,Psychic,2888,223,151,163,1,http://db.pokemonhubs.com/zh/imgs/403863065605863c646001.png,http://db.pokemonhubs.com/zh/detail.php?p_id=155
125,電擊獸,Electric,,2639,198,158,163,1,http://db.pokemonhubs.com/zh/imgs/203588421605864a5bf6b5.png,http://db.pokemonhubs.com/zh/detail.php?p_id=156
126,鴨嘴火獸,Fire,,2706,206,154,163,1,http://db.pokemonhubs.com/zh/imgs/7968431626058adfa250aa.png,http://db.pokemonhubs.com/zh/detail.php?p_id=157
127,凱羅斯,Bug,,3345,238,182,163,1,http://db.pokemonhubs.com/zh/imgs/662509886058b11638d0c.png,http://db.pokemonhubs.com/zh/detail.php?p_id=158
128,肯泰羅,Normal,,2962,198,183,181,1,http://db.pokemonhubs.com/zh/imgs/18391462776058b55c0775c.png,http://db.pokemonhubs.com/zh/detail.php?p_id=159
129,鯉魚王,Water,,310,29,85,85,1,http://db.pokemonhubs.com/zh/imgs/15147557746058b744abe52.png,http://db.pokemonhubs.com/zh/detail.php?p_id=160
130,暴鯉龍,Water,Flying,3834,237,186,216,1,http://db.pokemonhubs.com/zh/imgs/1015290546058b917bee1f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=161
131,拉普拉斯,Water,Ice,2985,165,174,277,1,http://db.pokemonhubs.com/zh/imgs/20955743036058c767320c7.png,http://db.pokemonhubs.com/zh/detail.php?p_id=162
132,百變怪,Normal,,940,91,91,134,1,http://db.pokemonhubs.com/zh/imgs/6577168636058c7fb043b9.png,http://db.pokemonhubs.com/zh/detail.php?p_id=163
133,伊布,Normal,,1210,104,114,146,1,http://db.pokemonhubs.com/zh/imgs/7582959056058cc955d4b4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=164
134,水伊布,Water,,3521,205,161,277,1,http://db.pokemonhubs.com/zh/imgs/10656848616058cdc3c28b9.png,http://db.pokemonhubs.com/zh/detail.php?p_id=165
135,雷伊布,Electric,,3265,232,182,163,1,http://db.pokemonhubs.com/zh/imgs/15042769106058d9ba4bae7.png,http://db.pokemonhubs.com/zh/detail.php?p_id=166
136,火伊布,Fire,,3424,246,179,163,1,http://db.pokemonhubs.com/zh/imgs/11975545146058da6e4e13e.png,http://db.pokemonhubs.com/zh/detail.php?p_id=167
137,多邊獸,Normal,,1944,153,136,163,1,http://db.pokemonhubs.com/zh/imgs/8832903276058db4b4b1df.png,http://db.pokemonhubs.com/zh/detail.php?p_id=168
138,菊石獸,Rock,Water,1746,155,153,111,1,http://db.pokemonhubs.com/zh/imgs/10790830536058e28c62cad.png,http://db.pokemonhubs.com/zh/detail.php?p_id=169
139,多刺菊石獸,Rock,Water,3150,207,201,172,1,http://db.pokemonhubs.com/zh/imgs/663339016058e48e74166.png,http://db.pokemonhubs.com/zh/detail.php?p_id=170
140,化石盔,Rock,Water,1549,148,140,102,1,http://db.pokemonhubs.com/zh/imgs/14754817036058e593bdb2e.png,http://db.pokemonhubs.com/zh/detail.php?p_id=171
141,化石盔,Bug,,3067,220,186,155,1,http://db.pokemonhubs.com/zh/imgs/5082100776058e654252b6.png,http://db.pokemonhubs.com/zh/detail.php?p_id=172
142,化石翼龍,Rock,Flying,3147,221,159,190,1,http://db.pokemonhubs.com/zh/imgs/9692348186059378d71c53.png,http://db.pokemonhubs.com/zh/detail.php?p_id=173
143,卡比獸,Normal,,3647,190,169,330,1,http://db.pokemonhubs.com/zh/imgs/5950200896059383ed3801.png,http://db.pokemonhubs.com/zh/detail.php?p_id=174
144,急凍鳥,Ice,Flying,3450,192,236,207,1,http://db.pokemonhubs.com/zh/imgs/7925226346059396c1ae1f.png,http://db.pokemonhubs.com/zh/detail.php?p_id=175
145,閃電鳥,Electric,Flying,3987,253,185,207,1,http://db.pokemonhubs.com/zh/imgs/77126125660593a439cfe0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=176
146,火焰鳥,Fire,Flying,3917,251,181,207,1,http://db.pokemonhubs.com/zh/imgs/35005666160593b5d27699.png,http://db.pokemonhubs.com/zh/detail.php?p_id=177
147,迷你龍,Dragon,,1136,119,91,121,1,http://db.pokemonhubs.com/zh/imgs/133980513160593c2c9eb0c.png,http://db.pokemonhubs.com/zh/detail.php?p_id=178
148,哈克龍,Dragon,,2012,163,135,156,1,http://db.pokemonhubs.com/zh/imgs/175697348060593ce53ef23.png,http://db.pokemonhubs.com/zh/detail.php?p_id=179
149,快龍,Dragon,Flying,4287,263,198,209,1,http://db.pokemonhubs.com/zh/imgs/53201771760593ddc507ec.png,http://db.pokemonhubs.com/zh/detail.php?p_id=180
150,超夢,Psychic,,4724,300,182,214,1,http://db.pokemonhubs.com/zh/imgs/44778362060593eb3d33d0.png,http://db.pokemonhubs.com/zh/detail.php?p_id=181
151,夢幻,Psychic,,3691,210,210,225,1,http://db.pokemonhubs.com/zh/imgs/45875697060593f7e91c54.png,http://db.pokemonhubs.com/zh/detail.php?p_id=182
152,菊草葉,Grass,,1057,92,122,128,2,http://db.pokemonhubs.com/zh/imgs/2094144021605b7098bd077.png,http://db.pokemonhubs.com/zh/detail.php?p_id=196
153,月桂葉,Grass,,1644,122,155,155,2,http://db.pokemonhubs.com/zh/imgs/1217745338605b71df073b8.png,http://db.pokemonhubs.com/zh/detail.php?p_id=197
154,大竺葵,Grass,,2725,168,202,190,2,http://db.pokemonhubs.com/zh/imgs/178020872605b744820c82.png,http://db.pokemonhubs.com/zh/detail.php?p_id=198
155,火球鼠,Fire,,1108,116,93,118,2,http://db.pokemonhubs.com/zh/imgs/633103188605b75ec37430.png,http://db.pokemonhubs.com/zh/detail.php?p_id=199
156,火岩鼠,Fire,,1868,158,126,151,2,http://db.pokemonhubs.com/zh/imgs/606289886605b7699665c4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=200
157,火爆獸,Fire,,3266,223,173,186,2,http://db.pokemonhubs.com/zh/imgs/1364843884605b77424fee4.png,http://db.pokemonhubs.com/zh/detail.php?p_id=201
